Gridcode,longitude,latitude
100692,-79.909,40.331
100693,-79.55,40.331
100694,-79.191,40.331
100695,-78.831,40.331
100696,-78.472,40.331
100697,-78.113,40.331
100698,-77.753,40.331
100699,-77.394,40.331
100700,-77.035,40.331
100701,-76.675,40.331
100702,-76.316,40.331
100703,-75.957,40.331
100704,-75.598,40.331
100705,-75.238,40.331
100706,-74.879,40.331
100707,-74.52,40.331
100708,-74.168,40.323
100709,-80.269,40.605
100710,-79.909,40.605
100711,-79.55,40.605
100712,-79.191,40.605
100713,-78.831,40.605
100714,-78.472,40.605
100715,-78.113,40.605
100716,-77.753,40.605
100717,-77.394,40.605
100718,-77.035,40.605
100719,-76.675,40.605
100720,-76.316,40.605
100721,-75.957,40.605
100722,-75.598,40.605
100723,-75.238,40.605
100724,-74.879,40.605
100725,-74.52,40.605
100726,-74.189,40.63
100727,-73.806,40.658
100728,-80.269,40.877
100729,-79.909,40.877
100730,-79.55,40.877
100731,-79.191,40.877
100732,-78.831,40.877
100733,-78.472,40.877
100734,-78.113,40.877
100735,-77.753,40.877
100736,-77.394,40.877
100737,-77.035,40.877
100738,-76.675,40.877
100739,-76.316,40.877
100740,-75.957,40.877
100741,-75.598,40.877
100742,-75.238,40.877
100743,-74.879,40.877
100744,-74.52,40.877
100745,-74.16,40.877
100746,-73.822,40.874
100747,-73.437,40.83
100748,-73.073,40.847
100749,-72.73,40.875
100750,-80.269,41.148
100751,-79.909,41.148
100752,-79.55,41.148
100753,-79.191,41.148
100754,-78.831,41.148
100755,-78.472,41.148
100756,-78.113,41.148
100757,-77.753,41.148
100758,-77.394,41.148
100759,-77.035,41.148
100760,-76.675,41.148
100761,-76.316,41.148
100762,-75.957,41.148
100763,-75.598,41.148
100764,-75.238,41.148
100765,-74.879,41.148
100766,-74.52,41.148
100767,-74.16,41.148
100768,-73.801,41.148
100769,-73.46,41.17
100770,-80.269,41.418
100771,-79.909,41.418
100772,-79.55,41.418
100773,-79.191,41.418
100774,-78.831,41.418
100775,-78.472,41.418
100776,-78.113,41.418
100777,-77.753,41.418
100778,-77.394,41.418
100779,-77.035,41.418
100780,-76.675,41.418
100781,-76.316,41.418
100782,-75.957,41.418
100783,-75.598,41.418
100784,-75.238,41.418
100785,-74.879,41.418
100786,-74.52,41.418
100787,-74.16,41.418
100788,-73.801,41.418
100789,-73.442,41.418
100790,-73.083,41.418
100791,-72.723,41.418
100792,-72.366,41.42
100793,-72.007,41.435
100794,-71.655,41.451
100795,-80.269,41.687
100796,-79.909,41.687
100797,-79.55,41.687
100798,-79.191,41.687
100799,-78.831,41.687
100800,-78.472,41.687
100801,-78.113,41.687
100802,-77.753,41.687
100803,-77.394,41.687
100804,-77.035,41.687
100805,-76.675,41.687
100806,-76.316,41.687
100807,-75.957,41.687
100808,-75.598,41.687
100809,-75.238,41.687
100810,-74.879,41.687
100811,-74.52,41.687
100812,-74.16,41.687
100813,-73.801,41.687
100814,-73.442,41.687
100815,-73.082,41.687
100816,-72.723,41.687
100817,-72.364,41.687
100818,-72.004,41.687
100819,-71.645,41.687
100820,-71.271,41.703
100821,-70.944,41.703
100822,-70.559,41.693
100823,-80.256,41.941
100824,-79.909,41.955
100825,-79.55,41.955
100826,-79.191,41.955
100827,-78.831,41.955
100828,-78.472,41.955
100829,-78.113,41.955
100830,-77.753,41.955
100831,-77.394,41.955
100832,-77.035,41.955
100833,-76.675,41.955
100834,-76.316,41.955
100835,-75.957,41.955
100836,-75.598,41.955
100837,-75.238,41.955
100838,-74.879,41.955
100839,-74.52,41.955
100840,-74.16,41.955
100841,-73.801,41.955
100842,-73.442,41.955
100843,-73.082,41.955
100844,-72.723,41.955
100845,-72.364,41.955
100846,-72.004,41.955
100847,-71.645,41.955
100848,-71.286,41.955
100849,-70.926,41.955
100850,-79.541,42.214
100851,-79.191,42.221
100852,-78.831,42.221
100853,-78.472,42.221
100854,-78.113,42.221
100855,-77.753,42.221
100856,-77.394,42.221
100857,-77.035,42.221
100858,-76.675,42.221
100859,-76.316,42.221
100860,-75.957,42.221
100861,-75.598,42.221
100862,-75.238,42.221
100863,-74.879,42.221
100864,-74.52,42.221
100865,-74.16,42.221
100866,-73.801,42.221
100867,-73.442,42.221
100868,-73.082,42.221
100869,-72.723,42.221
100870,-72.364,42.221
100871,-72.004,42.221
100872,-71.645,42.221
100873,-71.286,42.221
100874,-70.943,42.193
100875,-79.167,42.461
100876,-78.831,42.487
100877,-78.472,42.487
100878,-78.113,42.487
100879,-77.753,42.487
100880,-77.394,42.487
100881,-77.035,42.487
100882,-76.675,42.487
100883,-76.316,42.487
100884,-75.957,42.487
100885,-75.598,42.487
100886,-75.238,42.487
100887,-74.879,42.487
100888,-74.52,42.487
100889,-74.16,42.487
100890,-73.801,42.487
100891,-73.442,42.487
100892,-73.082,42.487
100893,-72.723,42.487
100894,-72.364,42.487
100895,-72.004,42.487
100896,-71.645,42.487
100897,-71.286,42.487
100898,-70.976,42.515
100899,-78.798,42.736
100900,-78.472,42.751
100901,-78.113,42.751
100902,-77.753,42.751
100903,-77.394,42.751
100904,-77.035,42.751
100905,-76.675,42.751
100906,-76.316,42.751
100907,-75.957,42.751
100908,-75.598,42.751
100909,-75.238,42.751
100910,-74.879,42.751
100911,-74.52,42.751
100912,-74.16,42.751
100913,-73.801,42.751
100914,-73.442,42.751
100915,-73.082,42.751
100916,-72.723,42.751
100917,-72.364,42.751
100918,-72.004,42.751
100919,-71.645,42.751
100920,-71.286,42.751
100921,-70.945,42.745
100922,-78.818,43.023
100923,-78.472,43.015
100924,-78.113,43.015
100925,-77.753,43.015
100926,-77.394,43.015
100927,-77.035,43.015
100928,-76.675,43.015
100929,-76.316,43.015
100930,-75.957,43.015
100931,-75.598,43.015
100932,-75.238,43.015
100933,-74.879,43.015
100934,-74.52,43.015
100935,-74.16,43.015
100936,-73.801,43.015
100937,-73.442,43.015
100938,-73.082,43.015
100939,-72.723,43.015
100940,-72.364,43.015
100941,-72.004,43.015
100942,-71.645,43.015
100943,-71.286,43.015
100944,-70.934,43.019
100945,-78.817,43.232
100946,-78.47,43.258
100947,-78.114,43.258
100948,-77.774,43.236
100949,-77.034,43.214
100950,-76.656,43.259
100951,-76.316,43.277
100952,-75.957,43.277
100953,-75.598,43.277
100954,-75.238,43.277
100955,-74.879,43.277
100956,-74.52,43.277
100957,-74.16,43.277
100958,-73.801,43.277
100959,-73.442,43.277
100960,-73.082,43.277
100961,-72.723,43.277
100962,-72.364,43.277
100963,-72.004,43.277
100964,-71.645,43.277
100965,-71.286,43.277
100966,-70.926,43.277
100967,-70.632,43.3
100968,-76.281,43.489
100969,-75.957,43.538
100970,-75.598,43.538
100971,-75.238,43.538
100972,-74.879,43.538
100973,-74.52,43.538
100974,-74.16,43.538
100975,-73.801,43.538
100976,-73.442,43.538
100977,-73.082,43.538
100978,-72.723,43.538
100979,-72.364,43.538
100980,-72.004,43.538
100981,-71.645,43.538
100982,-71.286,43.538
100983,-70.926,43.538
100984,-70.567,43.538
100985,-75.956,43.797
100986,-75.598,43.798
100987,-75.238,43.798
100988,-74.879,43.798
100989,-74.52,43.798
100990,-74.16,43.798
100991,-73.801,43.798
100992,-73.442,43.798
100993,-73.082,43.798
100994,-72.723,43.798
100995,-72.364,43.798
100996,-72.004,43.798
100997,-71.645,43.798
100998,-71.286,43.798
100999,-70.926,43.798
101000,-70.567,43.798
101001,-70.235,43.816
101002,-69.852,43.84
101003,-75.954,44.058
101004,-75.598,44.057
101005,-75.238,44.057
101006,-74.879,44.057
101007,-74.52,44.057
101008,-74.16,44.057
101009,-73.801,44.057
101010,-73.442,44.057
101011,-73.082,44.057
101012,-72.723,44.057
101013,-72.364,44.057
101014,-72.004,44.057
101015,-71.645,44.057
101016,-71.286,44.057
101017,-70.926,44.057
101018,-70.567,44.057
101019,-70.208,44.057
101020,-69.848,44.057
101021,-69.495,44.063
101022,-69.201,44.074
101023,-75.93,44.28
101024,-75.598,44.314
101025,-75.238,44.314
101026,-74.879,44.314
101027,-74.52,44.314
101028,-74.16,44.314
101029,-73.801,44.314
101030,-73.442,44.314
101031,-73.082,44.314
101032,-72.723,44.314
101033,-72.364,44.314
